	现在声音行吗？有声音了吗？有了吗？你聋了什么意思？现在有声音了吗？
	有了是吧？
	我刚才因为上一次上周周日直播的时候，我实在是忍不了，我拿手机放歌了，我自己听的都特别吵，所以新买了个音箱。这个音箱是跟渣男一样，见谁连谁，就自动就能谁都能连上他，就是boss的这个怎么谁都能连上他，所以我我我这两天我接接手机，什么好几个手机都他妈莫名其妙就老是从这出来，非常渣男。所以等于说刚才我这个麦克风不，我电脑出生跟他连上了。
	所以他妈逮谁连谁。
	我跟你讲这个要注意，要要。
	要慎重，要要慎重。
	太危险了是吧？太危险了。Hello哥，几个晚上好啊，都吃了吗？都吃没吃？那个直播的时候，就是每次旅行直播条件比较艰苦。我前面这个好几个屏幕，就是好几个手机跟那摆着来看弹幕，然后看QQ什么的。反正大家多担待，主要是上次那哥们儿不说了吗？不用看人听声，就听声儿就行，听声儿就行，所以主要是还是以单臂为主。
	晚上好晚上好啊，晚上好，哥几个晚上好，非常开心。什么类盘行为？副会长还没吃尊二肠，还在烤箱里哟。哥们儿可以，自己烤。媳妇儿自己搞不容易带个平板方便，有平板这边平板看弹幕，手机是看QQ就是那个那个SC困惑的留言。这个主屏是那个监控，然后这边还有一个专门放这个音响的音箱在这儿，移动演播室。
	活跃市值没了是吗？操不用着急，为什么周一没有直播？就周一走完，我觉得没什么问题咱们一般没有大事儿，非必要不开会。这也是记住，反正凡是我不开会的时候都没什么问题，就没什么不至于比如从今天之后，后面有没有问题不知道，但是至少没什么问题。所以你们要学会慢慢长大，好不好？要学会自己长大，没开会。
	就没什么问题。
	咱们周日不讲了吗？这周调整吗？是不是这周往下拐，活跃往下拐，这周调整吗？你就你想他比如说五天跌100点，每天20点，你是不是就好接受了？他妈选择一天砸下来，然后后面又跟着半死不活地跟着横两天，其实是一样的一样的-2.3哎也是啊，对吧？-2.3也是这个问题，-2.3的问题是，如果他要是给你连续好几天下来凑成一个2.3，当然那样不在咱们的整个的这个量化标准里边，就是到最后调整老板给你管人家也是煤炭吃麻了是吗？
	我看你们有人说说要小心那哥晚上的嘴脸。我不说了行不行？煤炭我不说了，反正哥们儿曼城阵容两个中后卫，一个煤炭一个白酒。今天好像是还行，做好了一个后卫两个中后卫应该做的任务。这两个礼拜好，我也没看啊，我也没看我也没看我我也不知道我我我属实，我确实我也不知道，就是我感觉上我看你们的这个微博评论和我后台私信，好好好好像那那那意思说是不是这俩还行嘴脸了是吧？
	控控制控制。
	控制就是你们也没看是吧？对，不用看，踏踏实实的有什么可看的对吧？我除了当时七百多买了点黄金实物之黄金实物，我感觉我他妈容易上车了。**，*怕我站，我怕我站那儿，我看了，我正儿八经我看了一个月的黄金的这个夜盘，我怕给我栓那儿。现在不也1100吗？不，无所谓。
	哥们儿，不不至于不至于。你看弹幕说这次范二三不清仓吗？咱们从来没有说过范二三要马上清仓。
