	我这儿的网线有点问题，现在恢复了吗？我我刚才应该是现在恢复。
	了吗？
	恢复了，泄露天机被拔网线了没有我这个我也不知道不知道怎么回事，我不知道怎么回事，反正现在可以了，有声音没画面，现在有了吗？现在可以看到吗？现在恢复了吗？回复了是吧？好，OK对路由器重重置了，重置一下来，咱们接着来。
	开始，接着。
	开始。
	咱们直播间从无序到有序是吧？从有序到无序再到有序。OK来，你看这位置是有只，如果说这位置像这儿一样，前面一样，这跌破了，你看这。这都叫有序。
	明白吧？这都叫有序。
	黄线压制下来就不做，所以也就是说我们只做有序情况下的支撑的上面的有序，怎么有有序压制，这就叫有序压制。因为黄线压制，大哥这边，大哥的成本在这儿，之前大哥被套了，在这儿要走，这叫有序，这叫标准的有序压制。比如在这个位置这儿，这根也是白线的有序压制，也是白线的有序压制。看了吗？
	什么叫做无序？
	哥们儿你刚刚进来是吗？什么情况？咱们不他妈先讲到无先分的，什么时候有序，什么时候无序，然后才讲讲什么叫有序，什么叫无序吗？哥们儿什么意思？这有那么难吗？
	生气了，啥叫无序？无序这就叫这边这叫无序，这边就下来，你就这位置就乱七八糟的。就是你依靠任何一根线，你是不具备操作情况的。他说的这就是非常无序，这叫无序。他这就叫无序，明明在那白线底下扒起来了，白线应该是有支撑的，结果又没有，又下来了，黄线也没支撑，又下来了。这蹦极起来了，起来之后黄线应该有支撑，白线有支撑，结果白线有支撑，黄线没有支撑，还破了，破了又起来了，这叫无序，就是乱七八糟。
	对我老婆说这种人不用回答OK好啊，听你老婆的来。然后比如你看这儿就简单讲就有趣，就是漂亮明白吗？你一看就漂亮，你这是不是就漂亮？就包括这即使咱们说这一段是不是也漂亮？有些对，哥们儿你觉得有线管着？对，有线管着。
	然后来咱们看啊。这位置被白线压制，但是不是下面有黄线，对不对？说明非常有序，主力空白非常的进退自如。你就再来一个哟，这波试试这个压制，这波是支撑上下一踩，然后再他妈洗一把，直接启动，启动完就这就都是你要启动，这还能还踩一白线起都是有序纯有序，纯有序。到这之后注意长音短柱对吧？
	长音短柱那么要注意了，如果你没有在这儿去放飞的话，你说这个波段还完没完，不知道你没有放飞的话，在这位置你要看什么？先看白线，说白线破了，一开盘动不动就破了。不要急，因为你还有黄金，这是你的最后的最后的支撑线了也就是你只在下有支撑的时候才做。这句话能不能听明白？就是你在有趣的情况下，你只做在下有支撑的时候在持股。
	明白吧？当然很多人说这位是滴滴没问题，这就是不同的策略，就是你自己的每个人自己的策略。你不同的策略懂我意思吗？
	比如说你看你这儿拿的，就是你在这个黄线拿的正好B1，你看-7.82，你在这儿拿的，你在这儿说你要赚大钱，白线轻松人在那，你为什么？而且上面没有S1，没有S1，这根不是前面根量那么大，看到了吗？这根量那么大，这根跟它几乎平亮，这根跟它也是平亮的，没有标准的S一出来没IC赚，你就可以赌。所以你看在你这儿拿的13.43块的，都拿到25了，他都翻倍了，我不低对吧？扛一下对抗一下，我我不不低。但是你说你他妈这儿追的，***23.31块追的，你拿到31枚走攻击一跌跌停又攻击一跌停，俩跌停，**滴滴了，你还不走，明天再来一跌停下来，直接给你打穿了，你走不走？
