	什么的。
	特拉维韦夫不行，真的以色列人是不想停，是吧？就是穿的别走对吧？穿的孩子我给你接二连三生好几个，不要走。
	今儿是蓝筹是吗？那带红哥们儿，带红爱因霍温。对，给老美悍死在波斯湾。我上次周日直播完了以后，我周一周二两天没说话，今天嗓子算是初步恢复。
	带红，都戴着呢，想着你们。
	太难做了是吧？就是很难做。周日使用方法，周日这个说涨也不好说，但是一般看跌的时候。为什么不穿阿贾克斯是吗？阿贾克斯没有什么好的价格，仅此而已。这里边有一个典故，就是球迷都知道我穿的这是谁的队服。咱们玩球衣的或者球迷知道我穿的这是谁的队服吗？
	埃因霍温对吧？这有一个典故，就不最早我娘是飞利浦的吗？然后我小时候不就是跟他一起在荷兰，然后不去少年时代的就儿童时候的青训，飞利浦是赞助商，所以先去的埃因霍温试训，这他妈没成，跟我同一组几个小小黑老外巨牛逼，你知道吗？就给刷下来了，所以就只能去死敌阿贾克斯试训。结果那一波正好赶上没什么特别牛逼的小老黑。
	然后就等于说对，本来想是带资进组，按中国人思路，这赞助商的孩子吧？你这就飞驰人生，是不是？结果没飞驰起来能力不够，确实水平有限。没飞驰成就是你把这个赞助商的带资进组的这个条件考虑进来也没成，所以就水平不够。
	所以在我心中。
	我一直认为爱因霍芬才是荷兰真正的豪门，把把曾经少年的我给拒之门外，你知道吧？他才是豪门，真正荷兰的豪门是爱因霍温，而不是阿亚克斯。
	所以得不到的总是。
	在什么什么在在激动什么对吧？就穿一个爱因霍温，穿一爱因霍温。所以说人生其实从小到大还是很坎坷的得不到总是在骚动，你这不骚动一下吗？是不是？
	阿亚克斯就那么回事儿，我跟你讲，我都能青训，你是不是就那么回事？爱因霍温真豪门，赞助商都不行。很坎坷，真的很坎坷。
	这礼拜前三天的走势很难受，对吧？就是你们听话的、空仓的、清仓的无所谓，对不对？然后这里边还蛮干的，肯定是难受。活跃市值做空的区间，空头区间就是下跌比上涨容易。说了无数次，很很正常很正常，但是上有顶下有底。不难受，太难受，不够惨烈，难受就对了。
	搬砖不难受，我没仓位难受的一批，这周小亏，要的就是难受。我没仓位还不够极致行情，各种无序，真的太难受了，很难受。这是底吗？我没仓位，下跌没加速，很舒服。个股没底，一成仓券商还行，三成仓不难受。搬砖神了，一点不难受，锻炼心态，感觉做不回来了。今天进什么什么钢铁钢钢铁没看懂，先套住再研究是吧？先破坏再建设，从来都是这样的，莫慌，一个个的不要荒，有什么可慌的。
