	没想到2楼你们也很多人也要去。
	我没存。
	我忘了谁给我发的了，我我我没存，我看看，我没存，反正挺好玩的，挺挺逗的。你们是你们发的微博的发的在微博发的。
	找我找找不到了，找找找不到了。咱们是在今天，咱们都是聊正题。因为周三就是周日直播太久了，嗓子不也不是特别舒服。所以咱们今天尽量不耽误时间。然后我有哥们给我发过来了，好几个哥们给我发过来了。你这图我没有看过，你这图我没看过，你这***都那么多版本，这个我也没看过，这怎么那么多版本，你们有有这个版本。
	还有黑色的版本好几个，不是不不不是这两张，我看的不是这个。
	蔡总对对对，这个有点意思。你操什么？你能表演一下那个吗？还要来吗？对，快点，新前锋必创新高。可以，我给你来个真人秀。真人版的。***们存了这么多图吗？你们这么多，你们暴露了，你们这些都是二十多的朋友，你们他妈天天逛古巴，所以你们为什么一直进不了步呢？哥们说实话，你们为什么成长的那么缓慢呢？黄金七百。
	这我没有。
	我没见过，这我没看过，但是他说错了，我没全抄底，就买了一点，买了点金子食物。
	你看什么一楼的低认知向榜上走，还在二楼一派魂，一看就是一楼人做的。你们二楼不可能做这种什么一楼二楼之争，就包括小贝那边不也有一个喷子，是吧？我都没理他。后来我本来今天开播我想截一下图，我想聊聊，后来发现没了。我不知道他删了还是怎么回事，没了还是还举报给弄没了。那哥们挺挺有意思。
	专门留着他一楼的。
	说二楼就算六块钱，我都不上。暴露了。所以他对于他现在的那个消费水平就是六个人，那咱们一下是70 20多倍。这这完完这这这这肯定太生气了，太生气了，消费不了的太生气了，所以你就没办法，对吧？
	然后咱们好好说好好说，因为这玩意儿说实话见得太多了，就是都几轮了，从05年开始，很正常。我在逛小痘的时候，刷的时候，我看有一个有一哥们儿评论区有一这个哥们儿就跟我之前描述的一模一样，这哥们他是账户是亏24%，他跟那个博主说，我玩的基金在软件龙头亏了24个点儿，割肉转去了电网。这几天一直跌，昨天我又带手续费去了CPO，我的乖乖，今天跌了我五六个点，我在想我该去哪里才能回本呢？这就是外面散户的水平。
	我一整天。
	我说3800来的，不好意思站一会儿。然后在那边把把那边顶上去之后，过来来来来，这出来有蹦极，那边追进去是吧？他这个节奏感还是挺好的，就永远是乘风破浪对吧？乘风破浪终有时，还看今朝。是不是就是你这哥们儿永远是踩在追在浪尖上，洪湖水那么浪打浪，越来越浪是吧？等于说是这个之前的软件追到了点儿，然后跟着人老美一起跌下来之后，电网就是你们老许那最高点，追进去了。追完之后，那边把一回撤，这两天不光模块起来点吗？崩就追到光模块里，我滴怪了，吸我。所以这是外面普遍散户的一个节奏，所以说很多被套在就你们不遵守战法跟纪律，被套住的票一直不动的烟之祸福，是不是就无非是被一个轮还是被几个轮。但是轮来轮去那种动的多，被轮的就多。
	所以这个是最极致的。
	我跟你讲这是最极致的这是外面普遍散户为什么一波波的需要他锁仓。然后你看你锁仓，你就锁。我的原理都讲过，就是像这种散户，你锁仓就锁，你锁完之后别动，你就这样好了就行了。以后会有人最怕的就是不认，被锁住之后又看到内山又高，蹦极割掉去追内山。永远都是乘风破浪，这是最难的，这最难。所以这是一个。
	这是外面。
	普遍的心态。然后第二个是咱家的一位朋友ID我就不说了。这是他昨天给我发的，昨天给我发的，我本来想给他回回一段话，后来我实在是回不动了。我想今天咱们直播的时候说，是不是说我要哥们儿你给我发的，没人知道你是谁。首先，另外第二是你的这个问题，是现在普遍的一个我解决不了的问题，直挂云帆济沧海是吧？OK就是哥们儿你这个问题是我回答不了，我解决不了，所以我需要坦诚的跟各位来来来分享一下。
	哥们儿说B一太难了，这哥我这三个票选的有问题吗？因为他没我没回头，没法给我发图。但是他那意思在昨天又干了3个B1，今天全跌五六个点。就是昨天全跌五六个点后补仓位比较重，这几天一直跌一直买，今天又跌五个多点，刚才又加了一笔。
	有点迷茫了。
	按照他的情况，应该是二楼的兄弟。所以我说了，我真绝对没有阴阳怪，你们都是二楼的，咱们都是魏家钧纯自己人我跟回就像我就我现在直播就跟回家一样。所以我真诚的分享。
	这问题我解决不了。
	第一太难了。我这三个票选的有问题吗？我虽然没有看到你的三个票有没有问题，但是我就问你为什么还在空头区间只卖不买的情况下，要买也只是稍微low一点玩情况下，你他妈又干了。
	三个逼。
	然后说昨天跌五六个点，没办法，我也没办法，我真没办法。择时，咱们一开始上来叫止损跟择时，所有选股的第一条就是择时。我没办法了，哥们儿，我不知道怎么回答这问题，你说是第一选票有问题吗？我都不用看，肯定有完美图。
	但是这个。
	时候就是下跌比上涨容易很多，所以要么底仓拿住不动了，要不然就只卖不买。你要非要玩忍不了，1600台币给400。然后进去之后我还说了，做错了出来该认认。哥们，所以我这真的我想半天怎么回答我不知道，我没有解决方法。
	然后第二句后埔仓位比较重，这天一直跌后埔那下影线后埔的下影线我跟各位每周都在说，连续说了两周。从这个位置我就开始说，我说这个下影线，我说宁可信其有，不可信其无。我说至少我看不懂，我以前吃过亏，这种下眼线我不胖。然后好像是昨天一个跌停，对吧？他上午10点17给我发的，还没跌停，下午就跌停了对吧？他昨天给J给我发的，一直就这么拿。这真的，咱们二楼的朋友啊，咱们都是自己人我连续说了两周后埔下影线，我说我宁就不可信其无，我说我看不懂，我说我以前吃过亏，我说就算了。如果你非要赌的话，白线下白线一定要走，我就算了。
	这是第二句。第三句一直跌一直买，今天又跌五个多点，刚才又加了一笔。等于说他在10点17的时候，盘中又加了一笔。有点迷茫了。哥们儿是这样，就是你这一条消息把我整迷茫了。哥们儿你迷不迷茫不重要了，我深深的陷入了迷茫，何去何从？
	就是子不教父之过，教不严师之惰。我自认为我教的很严了，周日专门给大家直播。到了三点半一直在嘱咐我说我感觉特别不好。我说这个位置守一波，守一波不丢人，守一波。所以我真的我昨天看这条消息看了半天，我想给他怎么回？我确实是我我想的还是直播时候聊吧。
	哥们儿，你这个问题不是B一太难了，是你发的没有一句话是做对的。等于说你永远在一方面叫我师傅，一方面每一招每一式都不是我教的那怎么办呢？哥们儿，所以我说你们出去不要提为师的名字，真的做对了也不要提。
	周日说活跃值会了对吧？讲活跃市值我说金叉空，我说按照以往。
	来讲都是漏下去。
	往下来个加速原画。所以本来这两天周一周二下跌的时候，我还在想，我还想周三能吹牛逼了。但是发现很多人不听话，说B13个票选的有问题吗？哥们儿，这不是现在不是选票的问题。
	所以我确实。
	不知道。
	把放手一搏，把防守一波听成放手博。
	了是吗？
	所以菩提本无树，明镜意义非台。心中无一物，人定胜天。荀子说的是吧？所以哥们是这样，首先咱们说冷静下来，如我相信他这绝对不是个例，绝对不是个例。因为很多人发这个救我，咱们就咱们就很简单点，咱就说第一择时活跃市值-2.3区间之内，空头区间就是下跌比上涨要容易。
	所以在这个区间我们的策略是什么？底仓加动态仓。底仓你就完全是靠信仰，无所谓配多配少，自己感受就行了。但是动态仓一定只卖不买，非要玩忍不住就一定要玩一下。台费缩小1600，台费只给400，而且是不涨就拍掉，不要有心理负担，不要思想包袱，但是原则上来讲就是不做。
	第二点就是无论是大盘还是厚朴，还是活跃市值，我明确表达了。我还专门说我Z哥的使用方法，就是说我说涨的时候不一定涨，但是一般我说跌的时候，往往它就跌，对吧？这是不是我说这是你们给我总结出来的，所以说哥们厚朴连续两个礼拜提示风险，所以真的。然后你说刚才又加了一笔，等于盘中你又加仓，为什么？谁交的都跌破黄线之下了，按道理应该拍掉了，应该止损了，你为什么还要加仓，还是盘中加仓？为什么说如果说马上又倒逼了，那也是盘后的事儿，那也是今天的事儿。
	就是你比如你上一笔单子，昨天收盘之后跌破黄线了，止损出来之后说今天晚上再选，说这个B一好干，他今天进没问题。但是咱们说现在大家看到的这张图，下面是一个放量的B1，教过吗？异动之后连续缩量，缩量之后的比更有价值。所以我迷茫了，哥们我我我我我迷茫了，我确实我尽力了，就这种。
	情况我这是。
	真没招了。
	我相信有很多人。
	存在这种情况，或多或少。但是这哥们儿能随能同时把所有的事情都做错。我说的错是根据咱们的策略，没准你在生活中是一个学习特别好的人，工作特别好的人。这个我不知道，我仅仅说你给我发这几个字，结合做股票最正确的策略来讲的话，全错。所以我也不知道怎么办，对吧？然后这是一个，所以刚才说外面的散户是那种情况，然后咱们家里边的很多朋友，可能这比较有代表性，也是这种情况。所以我就想问一下大家，就是说你们管我叫师傅，管我叫师尊，管我叫师傅。
	我到底教。
	的什么？
	就是你学的又是什么，所以我。
	然后还有一个，还有一哥们儿，这是名字我就不打出来了，名字我就不打了。他说这个好，开年到现在越做越没信心了，我觉得这个相对是合理。
	和正常的。
	就在于任何国家的市场，它难就难在为什么永远都是少数人极少数人10分之1的人是赚钱的，去年散户99%都是亏损的，为什么？他最后的那个钱，为什么说市场股市里边或者期货上能赚大钱？就在于最后坚持下来，方方面面综合从技战术水平到意志品质，就是能力加精神力，就是技能的能力加精神力。最后坚持下来的人不需要你很强，也不需要你智商多高。你只要把一个最朴素的招数坚持，不被外界跟盘面任何的波动所影响，你就坚持下来，跟那站着你就能赢。比如说去年2025年估值修复的一年里边的发仔跟阿敏，你就站在那儿，不需要包括现在的宁子。
	我相信去年包括宁子。
	现在大概回到40%的利润了，是吧？之前是到了60，现在回了大概10%几。就是说不是说赚到这些钱的人，他就智商方面比你高，不是，只是人家就简简单单做到了一个在正确的时间，正确的地点就站那里不动。
