	固定答案。
	比如说被梁柱。
	5跟10 10就是被量柱。但是五根24倍也叫对量，也叫倍量柱。但它的原理是一样的，说明今天有额外的增量资金大幅入场，形成了一个倍量柱。而纵观历史上，可能百分之六七十的概率是当被量柱出现的时候，后面有可能上涨趋势是延续的。所以你要做的就是这百分之六七十的上涨延续。说如果发生了30%到40%下跌怎么办？止损，所以你永远都在那个路口等着他。就是在于如果我超上你的上涨延续了，我可能赚20%。
	我要亏的话，亏那一根儿可能是3%、5%。锤子图为什么不能做？它的原理是如果你控盘好的话，不应该在你要启动的位置出现。
	城下影，懂我意思吗？
	就有点像厚朴是一个道理。厚朴标准的锤子吗？就是甭管你是这个绿锤子还是红锤子，就是说你要控制好的话，你不会让这个盘面出现这种不可控这条事故。说如果你要是这个盘的操盘手，你要出现这玩意儿的话，哥们儿这叫事故，说明外面有你不知道的筹码砸出来了。
	那有可能是大股东解禁之后，没跟你说他就卖了也有可能是利益输送。利益输送就是你可能要给某个那什么送东西，但是你又没法送money。那你送他点这个share对吧？你要送他share的话，那等于说是我给你盘面上砸出一个10%，让你拿200万接着。然后你第二天嘣机，你开盘之后你给他卖了，你当天就赚。
	10%。但是一旦。
	发生这种情况的话，他卖的是卖给谁的？
	筹码都散了，而且盘面也不好看了。
	那么跟风的这些就看呦，***这个盘子你就有有点有点有点乱，就走了，就不玩了，懂这意思吗？所以说一般来讲出现长下影线，一般来讲这个下影线最终它会实现。但是什么原因真不知道，没有人能够知道。这只有它盘面本身会，但是一旦出现这玩意就散，你看正好把这个象限给你吃了吗？就没准明天就起来了，但是刚出现。
	东西就是不好。
	来。
	咱们接着聊。
	咱们接着聊。比如说你看像这玩意儿，你就像这玩意儿，就咱们下跌的也看你看，比如这个反弹1234是吧，吃完之后走吗？四根反弹吃完之后走吗？因为趋势下跌的，你看后面开始绿的11234对吧，你这你就进不来。试完之后又创新低，还是绿的1234又来四根对吧？然后这根翻红了，翻红之后又创新低，那么又绿的绿绿的再来四根，1234对吧？这根翻红了，好数1234。
	因为他们这个又创新低了，所以趋势是会不会再复制？即使红的你要还是复制，**就太弱了。太弱他就不断的在在复制弱的4加4加4加4，说这个象限占一半。
	蒜锤子吗？哥们儿这玩意儿我没法给你答案，你去问迪布斯一个，他也没法给你一个精确的答案，说下限大概其多少幅度就一定是怎么样，没有标准答案。哥们儿我不能给你生编一个答案出来，或者我给你现场算一个概率没有你要知道下影线的逻辑是什么。下影线的本质就是有人大幅地卖掉之后。
	最后又被人给把价格给说了。
	你的关注点就在于谁卖的，谁买的。为什么在这个位置出现一根下影线，而在下阳线长跟短？说实话这东西纯随机，就相当于你知道我下一句要说什么话吗？我知道你明天起床有第一件事，那我可能知道，那你可能你起床之后说的前十句话什么你不知道，这他妈很难分析，对吧？我也猜不到你下个电话谁给你打来的这玩意儿很就是没有这么精确。所以简单来讲，咱家做的比如说那些六十八的，还有那些做的好，比如这两个月还赚了百分之一二十的，很多人不动脑子，Z哥你说了涨停板就拍，Z哥你说了拉起来七个点我就卖，就这么执行。中间也有其调仓换股之后被浮亏的，也有拍了，就是没有。
	我们要做。
	的就是永远去做对应的那个确定性的事情。就比如说我跟大家说跌破黄线就卖，对吧？跌破黄线就卖。比如说这段跌破黄线了你也卖，你这一段吃不着的，你吃不着你的心态就很好，对吧？涨了黄金就买，那就别在这位置就还可以，这块又跌破，跌破你再卖，你这块是拿不到这儿的，都说过非常简单，不要动。然后你老在想说，我这儿买的，结果这天跌破黄线，彻底跌破二次跌破我就卖，然后结果我亏了2.5%，你要想的不是你的仓里边亏2.5%，你要想的是这主力如果它结束了，它不再控盘了，一旦漏下去怎么办？那你一点办法都没有，你找谁说理去？你要么这亏2%，要么这儿亏20%，你自己选。
	所以新手或者是这个所谓的臭棋篓子，他就是老是想明白这个道理，就是说你的止损是为了控制你更多的回撤和损失。就是说很简单，比如说你你你你在亚马逊，你在一个池塘里边，你被鳄鱼给叼进去了，说如果你要是反应快的话，它咬你一条腿，你瞬间拿斧子把你这腿就给砍完了，你就上岸了。如果你要不把你的腿砍下来，你就直接被鳄鱼叼走了，就直接就淹没到这个沼泽里边，你就死了。你那你就去算，那你就去想，你是要你的生命继续延续，还是要直接在沼泽里边被鳄鱼直接就给你完全一波带走。壁虎断掉自己的尾巴，他还能活着，对吧？这是一个最经典的理论。
	断臂求生说也可能失血过多死。对，失血过多那也得他妈失个半个小时，20分钟，你还能多活20分钟半小时。你鳄鱼下来之后，你蹦迪马上就死了，没了一波带走。当然你要非要杠说在鳄鱼肚子里边也能再再活个半小时，那消化慢也可以。
	但是你要这么干的话。
	你在这市场里边怎么能赚钱呢？你就非要跟主力说，主力你为什么不拉，你为什么不涨？
	所以我无论是。
	上线还是充电，直播第一课就是永不套牢，永远别套牢。结果你看现在慢慢骂的，或者是粉转黑的，都是不止损，被套牢了开始卖。所以我说我能力有限，我不知道还要怎么去提醒风险。
	来，咱们接着回到。
	还是回到这个，比如你看华阳，你看这是一根红柱，红红专，红砖，然后你就数这是一个红红专，对吧？那么在这儿如果你要是超短玩法你就走了吗？不是，错错错，你这天超短选出来吧，你这天买吗？基本我这天崩击一根3.35绿砖了，卖变绿了，因为后面有可能连续四根绿砖，比如说你这个位置卖完之后，你咣咣两个人你这个损失就没了，你就这么走的对吧？对，就是短线就是这么做，超短就是这么做，你按照专来讲也是这么做。然后好，这块大家就是我在讲这个4加4或者反转这块属专，大家都明白了吧？来打出来就是我要看基本都明白的话，我就开始讲下一个知识点了，很重要。

（内容由AI生成）
