	北新也是一波两波三波不要。不要。
	还有你们的老朋友。
	360不要。不要。
	中国中铁也是123，不要亨通光电。
	是吗？亨通。
	股份。这是哪儿？这是怎么看？他怎么了？反正就是第三波不要，这是啥规律？这是因为如果它要涨的话，它第二轮就涨上去了，它不会下来。
	如果你非要拿波浪来讲的话，一般第五浪是很12345就第五浪那是大大牛市才有五浪。如果你要做的话，你们有经验的老手就在于五浪如果不起来量不够，然后到高点一反转就全卖。但是我讲这个就太复杂了，你就记住说第五浪是不做的，就是那个123N型结构是要往上走的，N型要往上走。如果他走成这种的，到第三个折下来的时候，这他妈就横盘了，懂我意思吗？
	你看比如说南华，比如南华。
	你看这波起来一波，两波，三波，这个位置好像看起来是能做。但实际上。
	你要是把。
	它这么看的话，这位置是N型结构。它在这儿一笔下来以后。他不是在这波套，你就是在这波套你。懂我意思吗？比如说你看按照量，这波就不碰了。如果你要真要做这波不碰了，那它实际上。它这儿有个小折线，看到吗？这儿套了一次，这儿套了一次，也是他在第四波的时候就不做了，广和科技。
	是吗？
	这也比较像，我给大家说一个原理，就是一般这种东西了就叫做高位震荡出货。就比如你看起来说这个没有个标准的S1，但是它可以震荡几次，给你把这个阶梯量的音量出来一加起来其实相当于一根或者两根S1，懂我意思吗？就是说你去看历史上的大牛股。他不会在在一个上涨的途中以后到这儿这么去折腾。所以比如说你要一定问我说这根做不做？我不做这根放这儿做这个我做转型图起来下来来个V8没准就起来，而且是比较好的一根儿两阳加两阴算是你看关键位置，你看他不可能在这位置出货，这位置不存在一个它盈利的可能，所以这个阳把这两根阴包起来，我觉得这就好。但是比如你看在这个位置，阳把它你是不是挺好看的，就不堵了，不是说后面一定不涨，而对高位没错，相对高位一定是高位高位。所以你看我经常说的是双响炮，三响炮在最近说的少，是因为像这种行情下非常难的。我告诉你们什么三想是能做的，就是必须。
	得非常精准。
	就是说不能墨迹。
	这是当年经济。
	实业在11年的11月19号。就是说你这个位置，你看N型结构，N型结构就不影响它走N型。明白我说的意思吗？就是说像这种玩意儿就问题不大，因为他不可能从底下起来以后就惨，就这四根就出完货了，这不可能，懂我意思吗？像你。
	就像。
	这玩意儿，你就看吧，说如果你要拉长阳，你是不是为了上涨？那你上场之后，你为什么又两个又回来倒车接人，然后你又缩量的拉两根长阳，那你要为了上涨，你为什么又连续6根倒车接人？说接完人以后你是不是应该如果说你要是想建仓，你是不应该快速脱离成本区，你又不脱离成本区，你又拉一根，而且是每个量都越来越小，骗人的360也是吗？这玩意儿也是吗？
	就横了太久了。
	然后再说这玩意儿没有一定它也是塑料，你看最后这两根也是塑料。你要是想说建完仓之后快速拉出成本区，你是不是洗完这一段之后，你就像寒武纪一样登就起来了，对不对？比如说你看你把这个图放在这个位置上的时候，你记住记住这张图。看到了吗？
	如果你要是真的不是骗炮的话，你这个起来之后，你在这儿你要快速拉出成本区。然后你在这位置说，你这弄完之后，你这一唱正影，然后你咣叽咣叽咣叽又他妈下了你这个动作，你这三根就已经暴露了，你丫就是一大**，明白这意思吧？你不能这么走你都出去了，你跟这洗完盘都出去了，你为什么还要回来呢？所以这个就要注意，比如你看你问这个是吧，这不就挺好吗？就是说我我不能这么说，就是说我不说他挺好啊，就说他跟刚才那个是不一样的，对吧？你一看就不一样，这就你要建仓洗盘，建仓洗盘发出去后面一波流畅的。如果他再崩崩，两个人回到这位置就算了。你看这也是。
	你看**。
	他他是有有不好的历史的惯例，你看这也是起来到这儿，下来再起，你应该往上接着走了。N型结构你看这儿不就是吗？起来下来你要走这儿了。结果你下来之后走这你又不走了，又下来再起。你妈这根绝逼骗人，就这根你看绝逼骗人的，你不可能你在这位置墨迹那么半天吗？
	但是说这种钱怎么赚？也很简单，你可以做B1，明白吧？折下来之后，你在位置做B一是行的，然后到了一突破前高就卖，一突破前高就卖，你做B一行。但是你不要在爆发之后做，你也不要做突破，也不要追。
	你看比如说在这儿的时候，这不就相当于两阳加两阴。虽然这个量不够，但是说你这种图形它不说明什么东西，你至少没有出货。所以后面你看给你来一个这个，你这至少不是出货图那种就是出货图。不是你你这不典典型吗？你问这个对吧，**这说实话这太丑了，就这种图就算涨。
	上去了对吧？那说实话。
	这***你看这就是主力做T太坏了，太坏，你这起来一突破马上套人对吧？然后到这儿你一割，你割以后马上又岂是吧？你一追突破马上又套人，对不对？然后你进右他你走了。
	所以这种图我刚才说了，做第一是事情的，比如这根儿就没有必要做了，你可以做这根儿，就比如说你看这B1，这根你是可以做的，你不要做这根儿。像比如B一这一团都可以做，你不要做这个，你这一团也是B一可以做，你不要做这个也不要做这个，也不要做这个，懂我意思吧？所以我跟你讲B一是最好的，他可以克服掉很多。但是你一旦做成B2，你看你每次B2都是他妈追在这个位置上，追这儿，追这儿很难受，但是你要拿专精图，一切就非常清晰了。
	1234走吧，然后你后面下来，然后1234走，反正总有一招能克他。就是你要再牛逼，***专精独专专制不服，对吧？1234走走完以后下来，吧？1234走走完以后下来也挺逗挺逗，挺有逗，挺有意思。所以就是你们自己看着办，我这反正是武器给你们了，那怎么论呢？你们就你们你们去驯服，好吧，你看这也是像这玩意儿就都是骗人的。这种你就拿第一干烟的，你或者你拿专精图干腌的对吧？所以你比如说你看这根，这根肯定不好看，这是个上影线。
	这专精图第一根都不好看，这根不好看，这根肯定是不不不选的这根好，你看这根好，是不是你们一打眼选熟练的，就这根好。中央图又大，上面又小，同时也长上影也小。然后你看这N精度一折回来，你这能赚到钱。所以就是说你们未来用熟练了以后，结合着做。基本上四根砖形图以内解决战斗。
	你看你比如这个1234对吧？你走走完以后，这番绿又翻红，翻红1234重新数，然后这儿八全走见顶，反转之后1234地点在这儿，中央图这儿来红了，接着走1234。他就是人家老外，这***人家我觉得还是有点动静，说实话有点东西。但是他那是手绘K线，我这是专精图，咱比他先进点，咱这是***火火控雷达，他还是拿肉眼。
	再多讲一下分时的交易是吗？分时交易就记住买完之后不涨，第二天9点33、9点37给我卖出来。如果第二天高开高走或者平盘直接就高开往上走了，那就就无所谓了。你自己爱什么买什么卖了，或者你就看红色专题图就行了，就是你不要搞复杂，没有那么复杂。比如你看这玩意儿，这玩意儿我跟你讲这个这是好图，我跟你讲这个是好图，你别看它卡这儿，咱们那个票就是这个。
	三利普行动。
	教育1234走啊走完之后你应该就反转那个。
	联特就是这种图，看到了吗？当时那个后台有人问我说这个你怎么选的？连特联特就是这种图，这种图就是黄线启动之后的，就是黄线支撑住之后的第一根确认阳线，然后。
	专精。
	图来了一个上涨力度很强的这要是红的，一直拿到绿，拿到这儿走，这边吃的也挺多。然后下面你看1234撕完之后，一二有可能再来两根34是吧？润泽，3月2号是吧，叫什么，泽润，哥们儿泽润，3月2号那天。这位这什么这B1，当时润泽泽润。润泽还有这玩意儿，对吧？你想你想把我陷入不仁不义质地。
	对不对？
	这一把80%了，这一把又30%了，又连续这么多这玩意儿对吧？你一定问我，我不知道DSZ干这个好不好？我觉得是DSZ干这个。咱们说你这一波起来之后，比如在这位置必一肯定是不干的对吧？因为前面80%了，你这不干了，你这不干人家就说就这玩意儿乱七八糟，走的乱七八糟，你怎么能赚钱？这辈子咱就说这辈子你怎么赚钱，然后现在来到这儿了是不是？
	所以说如果你们天天都选这种票，你们你们你们是你们是得到古巴去喷去就莫名其妙，你知道吗？这就是臭气篓子的玩法，然后回头啪啪，明天打我脸，我跟你讲后面啪啪四根砖上牛那牛逼。对，是这样。我跟你们非常坦诚的说，看票这个事儿就是没有意义。因为我。
	再说一遍。
	就是说咱们俩之间，比如屏幕你有30年的，比我更牛逼。没关系，就咱们俩说我这我我是真实年份20对吧？然后你们是真实年份二或者真实年份一说，咱俩这个年份之间差在哪儿了，就是我比你的味道更沉，他说我比你沉在哪儿了，对吧？就在于是咱俩买完之后的应对。懂我意思吗？所以我刚才说DSZ trading study最核心的最重要的那个点是哪个？来打出来那一个字，就说这种专精图的玩法最重要的是是是哪个？快快快，马上要睡觉了，快别别浪费时间，快卖对吧？
	所以说主要的是咱俩的核心在于买入之后的应对。比如我这玩意儿没关系，随便就任何你给我一个任何的位置我都能买，懂我意思吗？哥们儿这根儿都能买，就大风车。
	顶部大风车都能买。
	我买一手对吧？我买一手。
	我赌他明天。
	一个涨停反包回去，我就拿一手赌。
	应对明白吗？应对，你看是不是我买一手，我后面我就能给吹牛逼，我赚了三百，是不是我都能，行不行？是不是后面一根一根儿一根这百分之多少？12%对不对？你敢买吗？对不对？
	哥们儿就敢买一手。
	应对好吗？重要的是应对。十张图你们还有精力吗？十张图你们还有精力吗？你要哭了是吗？坚强，你这这种这种心理素质怎么玩？你都哭了就算了吧，下回，我真的我说实话，你们我这个我现在是越战越勇。
	不行了，下次，没精力了，没了。你看是不是你们不行了，是吧？不行了，说的有点困，周日，行吗？不差。这就今儿都咱都讲成这样了，就不差这两天了，对吧？明天还有真实承诺第70轮，哥们儿跟你讲，你这你我我看看现在是什么情况，明天。人那边还接着真实承诺，你这你我要不你们稳一手。
	**熄火，对吧？熄火，关键是大宗熄火。算了，你们稳一手，行吗？稳一手，这礼拜就先这样了，我毕竟我周日锦囊说了，我感觉很不好，就守一波行吗？回头你你你这没有条件，明天创造条件非要上的话，他妈弄两天又喷。这他妈DS战法不好使，DSZ战法太难了。叔叔你哥们你老硬上睡吧。周日周日聊了。
	周日聊了。
