	在我正题开始前，你允许我吃一块巧克力。
	因为这人嗓子比较哑，所以得多喝水，稍等。
	赔一个旺仔扣扣糖，什么这是什么糖，你们现在两千后都吃这个。
	那个怎么有直播回放了？什么意思？直播回放不一直有吗？很多上二楼的新朋友啊，注意，在2月21号那个充电动态的置顶评论在那儿有回放。一一哥们儿自己弄的这个回放，那有回放。所以说如果你要是刚刚上二楼的，或者说是二楼你一直不知道有回放的，在那个位置有啊。叫90后是吗？
	这咱真不知道。
	我们旺旺旺旺旺雪饼，我们小时候旺旺雪饼。
	回放太不及时了，因为要保障二楼朋友的利益，所以为什么让大家就最好尽量第一时间来。
	哪个位置2月21号动态下置顶评论，你们先背什么回放失效的，你在2月21号下面应该是不失效的。我喝多了，睡，现在天儿也黑了，赶赶赶紧睡。树来了，说听说你心里有我了，我也是一直爱您的，感谢您的陪伴，我也会陪你走到最后的。好，这哥们儿你这个ID第一次见，所以我心里不太有数，我也不知道，你虽然你就叫数是吧？
	彼时此刻生人，咱们直播间商务豪灯哥，我对我的未来有点迷茫。有时候也想找个东西看一下下步怎么走。格林真帅，没看懂啊，没看懂。不会要十点之后讲正题吗？不会，现在已经开始讲正题了，别着急，因为我等我查水，别着急。
	行，现在别再发IC了，正式开始了。
	然后咱们还是先因为周三，周三是在周中还在这个州县里边，所以咱们就自上而下的先去按照咱们之前的逻辑，在在上上周的时候，实际上在那个大盘的黄线的那个位置，那是一个非常危险的一个时间点，所以在那那个地方要守一波，对吧？然后也是聊了一晚上要守一波，说如果很多人那个位置没有守一波那就是上礼拜日聊的。就是说如果你那没有出来，那你一把不就空就下来了吗？那下来之后，在那个位置上，在3800的那个位置上，就相当于是4200的位置来讲，那就算第一位筹码千万不要做反，千万不要每次都是高位筹码买完在低位给卖掉，永远都是买高位筹码，然后再再在低位卖。那么周一是周一，周一咱们这个家中的目的，主要还是跟上回4月7号一样。
	相当于就这版又到了这个位置，又到这个位置之后，那相当于是又会有一批人信。说反了是吗？我刚才说的什么，我我我哪我说那个高位低位什么，就是说肯定要就是别把在高位买的筹码又在低位给卖掉，而是要在低位买筹码，去高位去买。反正就这意思，如果说反的话，那那请你们原谅。咱们就是顺这个逻辑来，那么截止到咱们周一家那个家中聊的是什么？就是说未来怎么样圈儿都不知道。
	但是目前大A的所有的这种走法，之前的逻辑一直下来，就是我我不认为是美野伊战争，直接就是说蹦极把咱们内部都击溃，然后牛就没了。我认为不是我认为更多是本身大A自己就有调整的需求。而对于无论对于龙队来讲，还是对于村长来讲，说好多人都走着攻击，给你杀个500点，把之前的获利盘都给清走，完成筹码的交换。然后同时再把高位估值高的东西也给杀下来，让市场回到一个整体历史分位在70%，估值水平70%左右的位置，相对安全一些，进可攻退可守。
	那平时你要自己弄，那很危险，正好借着这一波顺势而为，蹦极就下来。我说我要操半多万，对吧？我说你要是你要让我做，我他妈就这么杀。下到这个位置之后，我说如果是我的话，第二天如果美股那天晚上跌下来了，说美股没有高开之后没有一直走好而跌下来，咱们这边顺第二天再他妈往下杀一个，再往下一打8收回根长下影线。但是前天晚上美股***横住了，高开之后那等于说对咱们来讲就是高开一下，然后往下再杀一个成长营把它收回来。那么就是昨天的K线图就是逻辑是一样，就是等于就是说在这个位置还得最后再吓唬一帮人一下，我得他妈再下点都得趴下给你砸一下，然后只是比较强的那那就是说回来了。然后今天是顺势，为什么？
	因为有很多人家在高位把筹码卖掉的人，一直拿着钱的这帮机构，这帮大钱，他们回来在这位置就不一定说3800这位置就一定是底，不一定。但是对于大资金来讲，他们不可能买在尖尖角。说***就赌你这他妈这个点是最后这一根，不是，他们是分开买，但是在他们确定。但比如以前我们在建仓，比如说你你你有你有四个亿，你要把仓推进去。你不可能说在你你你飞上去的时候一直等着，等等到最后了我都不会。你肯定是今天先买一个亿，然后我们等一等，这就跌了再再买一个亿，或者有的涨就涨这高，再再买一个亿，它会平均的把新的仓位给建起来。
	与之对应的就是活跃市值。拿活跃市值来看，说在这个位置到底是什么性质？我跟大家来讲非常明确，就是这个位置是一个反弹的性质，是不是反转不知道，因为任何的底都是走出来才叫是底，对吧？比如说4月7号，4月7号之前那不就有好多都是这么慢慢的小阳线堆起来，你回看，那是个单底，所以现在这位置没人判断，这他妈这回是单底还是双底，没人能知道。说这你要说纯纯八一拍桌，我他妈认为这就是底，说这就是单底双底，那他们就赌博，就纯赌。所以咱们是要走一步确认一步。那么在这部目前当反弹来看，结合上礼拜的这个锦囊，就是说这礼拜如果出现反弹的话，是一个试金石。
	但是资金性质是什么性质呢？有活跃市值两天变红，大概加起来3.3%点7，3点74点八九两天这个数量说明确实是有增量资金过来抄底。但是没量，为什么不需要有量？就是你就好多人这两天后台私信问我说说说说这两天没有量，害怕不需要底部，不需要有量，就在这个位置，就尖尖角的位置不需要有量。
	为什么呢？是因为大钱，比如说就机构这些，比如说之前一直恐慌，连续下跌的时候，连续下跌的时候，这些筹码是交换，被就是你有人卖就有人买。那散户有多少散户敢买呢？那被谁买走了呢？所以如果是都完成筹码一轮往那筹码交换之后再起的时候说，如果大部分筹码都是机构的。
	那么这边儿只要有新的。
	增量资金，新的机构入场，八八买2个，因为他不卖。就是你要明白成交量是怎么来的，成交量是有分歧才有成交量。比如说在。
	顶部在一个波段。
	的高点大放量，为什么？因为有一堆人不认可这个位置，但是又有一堆人认可这个位置，攻击放一大量，比如在底部的位置，如果也放一大量，说明什么？说明也是有人不认可这个位置，或他有什么消息，他觉得要操，要他知道后面有有利空，他这位置砸，那成交量变大，说明有些人要么傻了吧唧的不知道，他觉得又估值便宜，我说可以，我买你，你卖多少，我买买多少。还有一种情况，是他故意的在这个位置低位震走对手盘，然后就对手盘止损之后，他全接也放量。
	然后另外一种。
	如果在底部没有量，反而无量的长阳。无量的中阳说明什么？说明咱们之前讲说选股的时候，尽量不要选缩量涨停的，对不对？背后逻辑什么？因为是筹码已经锁定了，因为是庄股筹码都是他的，所以他只要他不卖，或者对手盘的这个筹码他不卖，他稍微买点就起来了。所以说在当前这个位置来讲，比如在当前这个位置。
	来讲。
	比如在这个位置来讲，为什么两根相对这天缩量的起来了呢？一个是之前这根放量了，看到了吧？这根巨阴线一放量，当天已经很多该止损的止损，融资盘的该该该换的换，扛不住了，然后很多散户交筹码乱七八糟的，这天已经放量了，这天放量了等于说那谁接走了呢？那就是看好后面的你接走了。如果要看好后面人接走的话，那他这儿买的来一根儿，这个东西1.78没有必要卖，因为我也没赚钱，怎么可能在这儿那些借的筹码到这没赚钱，所以他不卖，不卖的话，外盘买点不就起来了吗？那么今天也是这个跳空缺口还没补上，比如说就你这天买的到这儿，你他妈就浮盈了一个点两个点。对于机构来讲。
	他妈他他一卖，自己给自己砸三个点出去。
	背景音有点大是吗？那那那那我那我关小，在这个位置也没有获利盘，同时上面套牢盘又在黄线这，看见了吧？又在黄线这儿套老板，所以在这个位置没有人卖，所以这个反弹不需要放量。然后什么。
	这不。
	锤子吗？锤子分位置讲了吗？比如你在这个位置点上，它这个下来再锤子起来，那么你要把它当成有抵抗力量的多头是赢了，对不对？然后比如再往下他们都没有上去，然后在这个位置你看又这又抵抗了一次黄线下又抵抗了一次上不去，说明多头已经没那么强了，这不就下来了吗？
	位置锤子是看位置，对，锤子说的是B二位置。哥们儿，那么在在相对下来的砂的就连续下杀之后的锤子，下杀之后，锤子那个是多头防守的暂时性的胜利，背景音乐都太小了是吗？哥们儿到底怎么样？大还是小，所以这个咱们不再浪费时间。如果之前你这块没有听到，那我给你补一下。但是大部分应该是都都都都是都是记得住的，所以说反弹不需要放量，但是比如打到这个位置的时候，过黄线过白线，那他这得放量。
	因为这块儿有很多，比如你们很多人说这块如果没有去走守一波的话，你们套牢盘都都成本都在这个位置，往这儿一打，大概率是要放量，你得把完成筹码的交换，想走就走，想想来的来。所以在这辈子来讲，就是前不着村，后后不着店。比如明天再往这一打，如果如果真来一根八，再来一根第三根，这个位置有可能就放量了。为什么？因为越往上越靠近陶老板，很多人就觉得***跟我再也不玩了，把钱还给我，我再也不玩了，回本就卖。对，所以在这个位置上，这两根儿。
	是不需要放量的。
