	把我的伤悲，我的泪。
	我去拿个巧克力，在家。
	放个水。慢慢靠在我的怀中。苦，一杯一杯紧握，人生像春秋，有时浓烈有时薄，多情岁月滴滴在心头。别让我一个人走路，上有你相陪，醒来还有梦。让我一个人守漫长的午夜，有你相随。还要很久。
	慢慢靠在我的怀中，将你的失落的苦杯杯敬我。人生像春秋，有时浓烈，有时薄多情岁月。
	有你相陪，醒来还有梦。
	漫长的午夜，有你相随。还要很久，别让我一个人醉，别让我一个人走，寂寞的路上有你相陪，醒来还有。
	别让我一个人守，午夜有你相随。还有。
	特么我雍正说这个好我是雍正，我正在上二楼OK，那也得有乾隆呗，是吧，应该没人叫溥仪，是吧，应该没人。
	叫溥仪。
	Zoe 11分了个板儿，师傅晚安，我是上周拜托一师兄给您转发我在演唱会上听您课视频的女粉，希望您能心软通过一下微信，有幸在市场和我个人状态最差的时候遇到您解答万物给了我次序，也谢谢师兄每天帮我复习复盘。我跟那哥们儿说了，后来微信那边没有看到您，您在那个什么一遍，您在那个您再发一遍。因为每天确实加好友特别多，我当时我让他写什么来着？写一个备注我有印象，现在我知道你就写一个roy . 
	11就行。
	我不信这是女粉，我也不信，真的多了，你们加微信全都是我女粉，对吧？别上当。大哥你放心，我久经沙场了，久经沙场了。都来加的都是女粉，找网图一换，然后把那个性别调成粉色的，真的多了。
	西方哪个国家我没有去过，对不对？哥伦比亚rush是吧？乌克兰我也觉得我信你们都是女粉好不好？都是今天我们的，我也是好不好？我也是。
	不知道大幅值。报告大哥，那个主播房间号166。最近我的好妹妹也天天听她直播，主播的帅气让我满是羡慕嫉妒，我该如何与自己和解？哥们儿就算了，别合计了。
	明天要上班了，赶紧去睡。
	赶紧去睡一环。好大哥。
	红利失踪，我在看哟，真有啊，红利也在，可以，红利也在行。开始，开始这张图能看到吗？看不到，稍等，我得加张图。
	这张图能看到吗？我连一下车，我这个昵称是山寨还是苔了。我我震一下车，那你先震是吧？刚才那个车震那个哥们儿就先算了，你先震，可以买了。这个图天天看，看的还不够，要加大力度。
	我跟大家说，咱们二楼的进度，我专门在这个位置慢一慢。为什么？因为这丁当当的一直在往前开到一季度。我原本以为大家开枝散叶，基本的止损和关键的位置，我原本认为已经很好了。但是没想到这一波的回调很剧烈的情况下，然后发现很多基本功。
	依然不扎实。
	所以咱们这块儿慢一下，别着急，慢一下。即使你掌握了，你特别清楚了，不用着急。还是我之前说的那句话，就是你看高尔夫球比赛，无论是tiger woods还是这个roy，他在每次挥杆之前，他都是要把姿势重新站好，把手型调好，然后比好对好对吧？就是将来做票也是，比如我以前在做交易的时候，我每次开盘前我都会把我的那个纸拿出来看一遍，好好的重新看，123456都会看一遍。
	基本功很很重要，而这个大富翁的基本功，他跟你别的这个什么什么踢踢，就是这个踢球篮球其实一样。你看库里赛前热身也要在这个三分线一直在投三分球。然后球员热身上来要先点先散开，颠颠颠球，然后传球，对吧？就是对复习动作非常重要的复习动作。所以说你们现在千万不要觉得慢，慢就是快。
