	大概率不会是下一波的主题。
	所以说在这个。
	位置说后面。
	再往下再去下沙挑这个平台的时候，压这个平台的时候，大家的。
	体感可能。
	会比前两波稍微的好一点。因为你在这儿都他妈被套了，你没有票能够买到，拿着是他妈这块新高的了，对吧？这会儿你这儿买的蹦极，你他妈一提前涨，提前你都跌完了。就是你你不要去想什么券商要来了，这你不用去思考，这问题不是你要思考的。下一个是谁不知道，但是至少目前来看，从盘面上来看你可能下礼拜周三、周四或者周五、周六，这周五或者下礼拜周一、周二的话，你可能会选出一批创新。比如这块商业航天，那么你还想着说**商业航天今年还有，那就不好说了，那就不好说了。
	所以说也就是说未来就比如下一周，我个人我个人是希望就别轻易起，还是那话就是说如果我是以前的大A的心态。我是觉得他可以起起伏伏，但是说你既然说从内部的筹码跟资金的结构来讲，真的很扎实。能明白这意思吧？就是说他以前从不这样的，就真的很扎实。你看这个平台他就不破，你这你要破一两天，对吧？但是他们不是按照活跃市值来管理，他应该没有这么先进。但是客观事实就造成这就变成他这个台阶上的很踏实。所以很明显，如果你为了再往上走的话，你把这波扶手洗一洗，你都给他洗到这个位置来，然后你再洗再起，那他们可能就是一五的那种斜率了，对吧？按照现在来讲，他他他不同意你疯牛病，那OK如果不同意风流的话，那从这个位置到这个位置再起来，如果跟这块一样创出一个前高的话，是不是从这儿起空间更大？你要从。
	这儿起的话。
	那很明显没人儿打到这儿就下去了，打到这儿就下去了，那不又没。
	干净吗？
	所以也就是说在这个位置，咱们大家千万要保持耐心，别着急。就是说我也希望涨，对吧？我这我资金体量***他妈再再涨起来，***我他，但是你有规律，你得按规律来，所以我之前说我说我是龙队，我在这位置，我说我龙队的话，我向下做一波的单量还是有的。
	因为你在这个位置复仇这么多在历史上最高浮筹的位置，你往上想拉一个波段的话太难了。记住去年8月份你为什么百岁山能拿AI各种算力拉出一大波段。这不因为是从这儿相当于924之后最低一点，信心最不足的位置起了一波。但是指数当时是不是没有怎么下跌，所以说也就是说咱们现在可以不要看指数了，指数就是慢牛，没有什么争议，因为它指数真不跌，但是它的内在是跌的。所以说你要看说去年8月份的那波行情，其实指数是相当于从这儿一直横着起来的，对不对？但是要从内部的筹码来讲的话，是筹码实际上已经从这个位置是多少？这个位置是178000，洗到了10万，相当于洗了一半儿，对吧？所以你就要去想说指，但是指数当时没有那么多，咱们去看一下。
	你看指数在启动的时候，**几乎九二四的最高点位置启动的，看到了吧？3400启动的，现在924 3400几乎平着的，看到了吗？指数是平着的，所以也就是说有就有人之前有人问我说为什么八月份启动，那就直接就起来了。我当时我说你等我后面直播，我我会我会聊到的。你指数上看它是直接起的，因为他管理指数太牛逼了，对吧？咱们说我真不知道他怎么怎么管的，太牛逼了。指数没有跌，所以按指数来看，他妈就是横盘直接高位启动。
	但是你从内部筹码的运行规律来看的话。是不是人家已经把浮筹的4% 40 45都给洗没了，明白这意思了吧？所以目前来看说在这个位置，整个这波把起来拉到这儿，拉到这儿在一起着急了，你啰嗦当时说我这位置，***为什么人这盖你？41那个333970记得吗？人就跟这就盖盖你盖你你你你没到位，你这位置没到位，你连一半都没到。你比如在这个位置，你连这个平台都你没到位。你的护理员，比如说拿有色来讲，你的这个东西你都没有调，你就直你就往上拉，你就往上弹。春季躁动一下，都他妈给冻，你就这么高。
	没办法，有的人家为什么4197人压你一下，这位置为什么压你一下？否则的话很容易A杀下来没洗干净。对，没完全没洗干你想咱家当时这会儿全都飘了，对吧？我说当我的感觉都是我觉得开枝散叶了，我觉得你们都学会了。记得当时**瞎他妈干，我觉得开枝散叶了，我很开心，后来发现不扎实，所以你就。
	因为。
	回调的就是这么多，你涨的时候在这个位置，那你筹码就是高位的不稳定。
	所以这把。
	下来以后，就真的说打到这儿再起，那可以预见的就打到涨到这儿就结束了，然后A杀下来了就结束了，你信不信？因为等于是说你积累了一波两波的复仇，你从这个位置你就要往上走，**，那他妈你绝逼你起不了多少了。所以现在等于这波下来是对的，从这儿起也高不了多少。这个波段不会很长，也就一个月我觉得所以你得往下先到这个平台，当然你也别破，破一点也是可以，不是一定不能破，因为你这块儿是他这儿盯着呢，但是至少你是不是得先把这一部分乱来的，你要给它洗掉，什么商业航天，***这些什么7788的什么给它洗掉，所以跟着磨时间换空间，然后你至少今年咱们还能做一波两个月的行情。
	然后就接着凯尔看他们的态度。所以说目前来讲的话。这一波起来，那这波洗谁洗的？是他们说如果要是砸盘子洗，应该是直上直下A纱，但是没有，领导考虑到大大家的承受力，给你阴爹，**时间换空间，没办法，所以就是一定要在这个位置折腾，折腾。所以这也是你会发现，咱们那天去看沪深300跟上证指数. 
	的一揽子。
	指数基金依然保持在高位。为什么？因为他们没被乱炒，也没被乱砸。那么这每回洗什么拉呀洗拉，一定是能涨的，越能涨的越能跌。能明白这意思吧？越能涨的越能跌。所以每波浮筹换筹就在于它们是基石，也就是说上证指数基石。
	像前天还有人说，说说沪什么指数，**，要不护指数的话，那他妈就完全就A纱，就完全泥沙，等于说大小票一起跌，那他妈就熄火了。跟你讲现在是大票不敢跌，不敢跌，为什么？因为这绑定着呢，你也不需要跌，他们为什么不信？因为他们也没涨，也没怎么涨。所以说在这个位置说，我觉得未来两个礼拜，你这至少你回踩一下，你别上去上去，他妈下来没戏。换句话说要上去的话，当时这两根就上去了，或者这根上能不能明白？就真要说咱们早就准备好了，咱们内部就是跟着眉骨，那早就这两根儿就上去了。因为咱们内部自己因为比如说你们没有去去真正的拿大钱去去去参与过这个市场，就是你有你参与过了，你就会有一个特别明确认知。
	就像比如我现在问你我说哥们儿你喜欢踢什么？就你喜欢踢，我说行，那你去踢场中超给你踢三分钟，你他妈上去一分钟，你跑一个来回，你就知道你踢不了。就是说大家作为观众的时候，看起来都是很简单的。但是你他妈一上场，那他妈就是不一样。比如我们说你账户我有十个亿，我有八个亿，我有四个亿，我要去做一个票的波动的话控不了。
	吹牛逼，你进去四面，你就不知道敌人来自于哪儿，就抛盘就来了，就莫名其妙大单吃你，你就买不完，买不完，真的买不完。你以为你4亿，他妈十亿就多，买不完根本就相当于你业余打的再好，你他妈比赛中场你踢五分钟，你踢不了守门行站那不动。所以就是说在这个位置要能硬上的话，就早就上去了。这位置也是说能上就早就上，说明上不了，说明就是上不了。你看着说你踢不了，你就是踢不了，明白这意思吧？比如你中国球员你去踢英超，你他妈你就是踢不了。你不是说决心的问题，就跟杨瀚森现在被那个熊猫快餐那老板买了，你你你你妈你还是没法成为regular的，这个主力你就打不了。
	但是有一天你能打的时候。
	你老板不是中国人，你也会让你打。所以说一定他要走完一个完整的过程。但是这个过程是多久，我再说一遍不知道，因为主力也不知道，你们要都不卖，站在主力角度说你们都不卖，那咱就他妈来吧，对吧？就跟这块似的，从这儿从他妈9月2号一直一直跌到12月4号三个月，你不卖吗？不卖就一直扛，一直扛，扛到最后你家都卖了为止，然后说扛到这儿了，你还不卖没关系，我拉别的，拉你没有的。商业航天没有不是可可了，不是固态了。我拉别的就反正是你得把筹码交到足够多的筹码出来。所以目前这个位置我们只能确认的是依然处在。
	管理统筹。
	之下。同时是在做一个之前获利盘，甚至把它理解为从这个位置开始了获利盘的浮筹的一个了结。做患者。所以你看我为什么说我说我的体感，就像那天那哥们儿说你知行合一了吗？我说我肯定知行合一了，因为我是在这个位置我就来了，对不对？然后最后拿到这儿，我的体感我就回撤个10%的那很正常。
	我觉得我没有什没有什么太大的体感。我心情不高兴来自于你们很多人亏钱了，我认为***他妈水平有限，没有教会我的失望绝望，是来自于很多这种噪音。就我自己的账户来讲，我就有点像这个位置。所以如果我来的早的话，我是这波儿或者这波儿来的，你就是洗不了，洗不了我，你洗不着。那么说如果我是跟着他们这一波来的这波的洗一定不是洗这一波，能明白吧？这波的洗一定是把最近从这个位置来的洗，甚至目前洗到这儿来讲，他也只是洗的是去年年底来的这波人都还没有洗到这一波，看见了吧？都还没有洗到这一波。
	券商跌的不止10%几，券商大概回撤多少？10% 13还是15对吧？但是我宁可涨了2% 20了，这一波赢了我第一重仓。所以我的提醒更多来更多的更多的来自于在这个位置，咱们明明在这强调了2月2号之后也一直强调，你们还当年答应我说再来一次一定能做到。
	然后包括很多之前有有一些粉转黑的，我很失望，我的我的失望来自于这块，我就觉得一个是更加看清了人性，一个是我发现真的教不会，但没关系，咱们要往后走，接着走。往后走。目前来讲这一波如果我是主力的话，先把这一波给你杀干净了，先把这波给你杀干净，至少目前没有杀到这一波。如果杀到这一波，说实话就漫长了，如果杀到这波就相当于是AI算力大AI就结束了。如果杀到这波大AI就结束了，那不就这波的主线就没了，对不对？所以你看目前一直杀到这儿的时候，你会发现没怎么动到主线，就是八月份的这一波没有怎么动到主线，但是又要保主线怎么办呢？
	券商白酒之前这些骚乎多的往下拔就是喜。但是你就注意看白酒的二月份的有一些提前披露的数据，股东数据少了不少人，不够再杀一个季度。比如你们自己会研究的，比我打开1573的那个F10去看一下，是不是少了2万人，但是台子不行，还多了1万人。然后你再去看其他的青花，是不是少了2万人，不够，他要再再少2万人。你不走就不拉，然后来接着来。
